distance_between_leaks: 1000 foot, number_of_leaks: 2
first_leak_position(foot),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm)
501.0,117.30715325567864,114.90400589270499,1257.9446996322708,1250.0817574575328
502.0,117.30716100848099,114.90400278777746,1257.944284679041,1250.0813555911832
503.0,117.30716875197803,114.90399967277075,1257.9438698208853,1250.0809538081394
504.0,117.30717648335161,114.90399654422345,1257.943455116219,1250.0805521728869
505.0,117.30718421940165,114.90399342095938,1257.943040358647,1250.0801504824535
506.0,117.30719194901864,114.90399029054689,1257.9426256697566,1250.07974886947
507.0,117.30719970764181,114.90398719245978,1257.9422106566035,1250.0793469292603
508.0,117.30720746218168,114.90398408987853,1257.9417956938655,1250.078945035927
509.0,117.30721518806133,114.90398095548134,1257.941381056043,1250.078543464771
510.0,117.30722294606475,114.90397785682158,1257.9409660537074,1250.0781415368806
511.0,117.30723070242259,114.90397475643282,1257.9405510670945,1250.0777396230494
512.0,117.30723842199231,114.9039716151138,1257.940136505463,1250.0773381302904
513.0,117.30724618470425,114.90396852189397,1257.939721457922,1250.0769361460564
514.0,117.30725391447933,114.90396539198743,1257.939306777742,1250.0765345436153
515.0,117.30726165422455,114.9039622732916,1257.9388919881608,1250.0761328224241
516.0,117.30726940793545,114.90395917015626,1257.938477043142,1250.0757309469586
517.0,117.30727713547056,114.9039560379196,1257.9380623915877,1250.0753293705843
518.0,117.30728488065128,114.9039529253667,1257.9376475489914,1250.0749275954706
519.0,117.30729263097804,114.903949818545,1257.9372326479797,1250.0745257673552
520.0,117.30730039545415,114.90394672758028,1257.9368175843645,1250.0741237736559
521.0,117.30730812293407,114.90394359545823,1257.9364029438564,1250.0737222029554
522.0,117.30731585501869,114.90394046852515,1257.9359882521806,1250.073320579331
523.0,117.30732360303844,114.90393735932871,1257.9355733828006,1250.0729187807276
524.0,117.30733135434608,114.90393425384721,1257.9351584725796,1250.0725169449943
525.0,117.30733908835529,114.90393112920503,1257.934743765249,1250.0721153016432
526.0,117.30734681875637,114.90392800052621,1257.9343290975935,1250.071713706999
527.0,117.30735460002677,114.90392492850864,1257.9339138546145,1250.0713115371548
528.0,117.30736230606739,114.90392177284373,1257.933499461849,1250.0709102171832
529.0,117.30737006798017,114.90391867938818,1257.9330844437325,1250.070508267318
530.0,117.30737780134044,114.90391555421405,1257.932669746346,1250.0701066406707
531.0,117.30738555569829,114.90391245243778,1257.9322548168968,1250.0697047789386
532.0,117.30739330695164,114.90390934724306,1257.9318399213305,1250.0693029544268
533.0,117.30740102641187,114.90390620671477,1257.9314253861896,1250.068901490633
534.0,117.30740878823919,114.90390311337607,1257.9310103740893,1250.0684995488787
535.0,117.3074165236042,114.90389999065053,1257.9305956617268,1250.0680979061028
536.0,117.30742425095812,114.90389685902971,1257.9301810416625,1250.0676963576784
537.0,117.3074319901761,114.90389374066098,1257.9297662895895,1250.067294675742
538.0,117.30743975401212,114.90389064973544,1257.9293512587826,1250.066892716141
539.0,117.30744749815048,114.9038875369227,1257.9289364552917,1250.066490981792
540.0,117.30745522812718,114.90388440840347,1257.928521810136,1250.0660894080656
