distance_between_leaks: 100 foot, number_of_leaks: 2
first_leak_position(foot),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm)
0,117.30404301522033,114.90738295972535,1258.1706453552692,1250.3092546040991
1,117.30405076439165,114.90737983959036,1258.170230102126,1250.3088524563577
2,117.30405851405294,114.9073767206993,1258.1698147709944,1250.308450238669
3,117.30318843169375,114.90639663123665,1258.1793303359893,1250.3179943584894
4,117.30319615440034,114.9063934824974,1258.1789153409673,1250.3175924380282
5,117.30320390831051,114.90639036836237,1258.1784999923775,1250.31719018211
6,117.30321165960352,114.90638725154896,1258.1780846641896,1250.316787938009
7,117.30321941193966,114.90638413580024,1258.1776693324857,1250.3163856974465
8,117.30322716533334,114.90638102132365,1258.1772539868623,1250.3159834410262
9,117.30323494542162,114.90637793654737,1258.1768383407389,1250.3155808887668
10,117.30324267778126,114.9063747987492,1258.1764232405976,1250.3151788732284
11,117.3032504268042,114.9063716794847,1258.1760079550593,1250.3147766757484
12,117.3032581865404,114.9063685722005,1258.1755925488455,1250.3143743568228
13,117.30326591080215,114.90636542549859,1258.1751775428322,1250.3139724391904
14,117.3032736854564,114.90636233485651,1258.1747619674866,1250.3135699587192
15,117.30328143323355,114.9063592144369,1258.174346700143,1250.3131677748759
16,117.30328918659352,114.9063561002251,1258.173931367306,1250.3127655340436
17,117.30329695470259,114.90635300252207,1258.1735158731578,1250.3123631223152
18,117.3033047009794,114.90634988046544,1258.173100628412,1250.3119609692883
19,117.30331244309458,114.90634675390191,1258.172685426918,1250.3115588565665
20,117.30332019166156,114.90634363456381,1258.1722701561785,1250.3111566719274
21,117.30332793961283,114.90634051450066,1258.1718548952333,1250.3107545039697
22,117.30333567798033,114.90633738389161,1258.1714397398473,1250.3103524381934
23,117.30334345627519,114.90633429776642,1258.1710241371145,1250.3099499209507
24,117.30335119913735,114.90633117225002,1258.1706089349977,1250.309547806577
25,117.30335893401971,114.90632803784368,1258.1701938296821,1250.309145789184
26,117.30336669765919,114.90632493552411,1258.1697783970028,1250.3087434434215
27,117.30337444442574,114.90632181444425,1258.1693631531614,1250.308341292748
28,117.30338219902407,114.90631870216436,1258.1689478253022,1250.3079390505818
29,117.30338994206753,114.90631557701599,1258.1685326312045,1250.3075369459093
30,117.3033977032021,114.90631247206679,1258.1681172321898,1250.3071346354382
31,117.30340544393172,114.90630934446465,1258.1677020635875,1250.3067325561976
32,117.3034131857875,114.90630621815689,1258.1672868834087,1250.3063304657485
33,117.30342093955836,114.90630310515334,1258.1668715728026,1250.3059282416098
34,117.30342868034218,114.90629997771735,1258.1664564091875,1250.305526168203
35,117.30343643450534,114.90629686525101,1258.166041094773,1250.3051239409258
36,117.30344418821926,114.90629375228318,1258.1656257884013,1250.3047217245837
37,117.3034519614028,114.90629066106722,1258.1652102612748,1250.3043192849493
38,117.30345968559139,114.9062875153575,1258.1647952917854,1250.3039174026592
39,117.30346744947046,114.90628441384186,1258.1643798731325,1250.3035150742846
40,117.30347521037858,114.90628130907886,1258.1639644889467,1250.3031127792958
41,117.30348294022913,114.90627816979406,1258.1635494593727,1250.3027108375584
42,117.30349069435964,114.90627505758165,1258.163134154791,1250.3023086213539
43,117.30349843987197,114.90627193581663,1258.1627189496817,1250.3019065045758
44,117.30350620523886,114.90626883617796,1258.1623035212988,1250.301504165587
45,117.30351394462097,114.90626570766574,1258.1618883881113,1250.3011021220905
46,117.30352168326073,114.90626257838657,1258.1614732650671,1250.300700086755
47,117.3035294506231,114.90625948110345,1258.1610578184032,1250.300297728696
48,117.30353718971146,114.90625635240215,1258.160642693025,1250.299895691766
49,117.30354494259441,114.9062532390934,1258.160227412796,1250.2994935002193
50,117.30355268068116,114.90625010936493,1258.1598123013634,1250.2990914772242
51,117.30356043716131,114.90624700015623,1258.1593969825803,1250.2986892466063
52,117.30356820176834,114.90624390001402,1258.1589815744564,1250.2982869274115
53,117.30357593377462,114.90624076365144,1258.1585665352447,1250.2978849770366
54,117.3035837015041,114.90623766708234,1258.1581510948783,1250.2974826239831
55,117.30440036361084,114.90713482066018,1258.1485846360579,1250.2879149861667
56,117.3044081174087,114.90713170872692,1258.1481693542667,1250.28751279228
57,117.30441587193758,114.9071285976473,1258.1477540646292,1250.2871105918052
58,117.30442361870512,114.90712547797817,1258.1473388652103,1250.286708480071
59,117.30443135456589,114.90712234620987,1258.1469237921606,1250.2863064936541
60,117.3044391068442,114.90711923274328,1258.1465085328714,1250.285904323938
61,117.30444685674728,114.90711611669077,1258.146093301919,1250.2855021810121
62,117.30445460766063,114.90711300180942,1258.1456780608648,1250.2851000276362
63,117.3044623558223,114.90710988390595,1258.1452628523596,1250.2846979070769
64,117.3044700984665,114.90710675990174,1258.1448477072418,1250.2842958507454
65,117.30447785441451,114.9071036507455,1258.1444324133893,1250.2838936451749
66,117.30448563293898,114.9071005667556,1258.1440168658776,1250.283491185472
67,117.30449335262693,114.90709741733387,1258.1436019855607,1250.283089393095
68,117.30450111113316,114.90709431116336,1258.1431866663638,1250.2826871616983
69,117.30450883377601,114.90709116511903,1258.1427717544038,1250.2822853383436
70,117.30451659224558,114.90708805897486,1258.1423564402069,1250.2818831120007
71,117.30452436337549,114.90708496697502,1258.141940981718,1250.2814807424863
72,117.30453210198644,114.9070818388355,1258.1415258929978,1250.2810787418887
73,117.30453984036127,114.90707871047317,1258.1411108100228,1250.2806767456204
74,117.30454760855876,114.90707561533337,1258.1406953906055,1250.2802744139751
75,117.30455535401046,114.90707249493252,1258.140280228318,1250.279872340378
76,117.3045630825754,114.90706935578072,1258.1398652595367,1250.2794704594646
77,117.30457084729821,114.90706625690248,1258.1394498824445,1250.2790681713657
78,117.30457860333814,114.90706314842224,1258.1390346047574,1250.278665981132
79,117.30458634889212,114.90706002829386,1258.1386194487009,1250.2782639131992
80,117.3045940968993,114.90705691095373,1258.138204264274,1250.2778618173572
81,117.30460185601837,114.90705380602147,1258.137788956908,1250.2774595971528
82,117.30460959350991,114.9070506770618,1258.1373738957057,1250.277057623409
83,117.30461735572933,114.90704757566917,1258.1369585551838,1250.276655370523
84,117.30462509937455,114.90704445364584,1258.1365434255715,1250.2762533296643
85,117.30463284596298,114.90704133493797,1258.1361282661878,1250.2758512570895
86,117.30464058232414,114.90703820488606,1258.1357132218686,1250.2754493023165
87,117.30464835663088,114.90703511712144,1258.135297750059,1250.2750469176028
88,117.30465608564182,114.9070319789777,1258.134882792652,1250.2746450485797
