distance_between_leaks: 10 foot, number_of_leaks: 2
first_leak_position(foot),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm)
0,117.30360904758452,114.90758492817346,1258.1946643483857,1250.333432600514
1,117.30361680048672,114.90758181125219,1258.1942489592332,1250.3330303600528
2,117.30362456250798,114.90757870500575,1258.193833466136,1250.3326279691992
3,117.3036323056599,114.90757557778795,1258.1934181870677,1250.33222579493
4,117.30364006605683,114.90757246997046,1258.1930027235876,1250.331823410089
5,117.30364780698646,114.90756934060691,1258.1925874706747,1250.3314212395082
6,117.30365557142011,114.90756623721478,1258.1921719598056,1250.3310188270736
7,117.30366330656138,114.90756310120965,1258.1917567873422,1250.3306167535088
8,117.30367106592207,114.9075599923999,1258.1913413443765,1250.3302143870044
9,117.30367882316801,114.90755688122309,1258.1909259144888,1250.3298120515392
10,117.30368656621916,114.90755375422725,1258.190510656902,1250.3294098847168
11,117.30369431615952,114.90755063502294,1258.1900953165289,1250.3290076330484
12,117.30370206222662,114.90754751140874,1258.189680024262,1250.3286054409448
13,117.30370983156355,114.90754441388069,1258.1892644694085,1250.3282029719269
14,117.30371756396305,114.90754127533543,1258.1888493343524,1250.3278009179105
15,117.30372533511753,114.90753817984474,1258.1884337584042,1250.3273984382542
16,117.30373307122515,114.9075350454248,1258.1880185873708,1250.326996353777
17,117.3037408341066,114.90753194084668,1258.187603107705,1250.3265939672092
18,117.30374859258228,114.90752883140358,1258.1871876837029,1250.32619163237
19,117.30375631614014,114.90752568319978,1258.18677265612,1250.3257896887683
20,117.3037640654014,114.90752256355975,1258.1863573342139,1250.3253874639358
21,117.30377184034408,114.9075194725367,1258.185941728607,1250.3249849502379
22,117.3037795946243,114.90751635853992,1258.185526357059,1250.324582674142
23,117.30378731608194,114.90751320823682,1258.1851113546932,1250.3241807531904
24,117.30379508308229,114.90751010850303,1258.1846958382596,1250.3237783336951
25,117.30380283494353,114.90750699201776,1258.1842804980179,1250.3233760816024
26,117.30381058668914,114.90750387543781,1258.1838651634425,1250.3229738330856
27,117.30381834959304,114.90750077130332,1258.183449699493,1250.3225714611601
28,117.30382609112976,114.90749764347001,1258.1830344811501,1250.3221693288206
29,117.30383385027756,114.90749453523804,1258.1826190607405,1250.321767002541
30,117.3038416118389,114.90749142980195,1258.1822036185745,1250.321364643514
31,117.30384934952784,114.90748829771887,1258.181788443832,1250.320962568656
32,117.30385709696986,114.90748517666815,1258.181373164522,1250.320560371031
33,117.30386485006836,114.90748206183964,1258.1809578196358,1250.3201581224278
34,117.30387259957311,114.90747894314903,1258.1805425171294,1250.3197559063697
35,117.30388034147032,114.90747581593925,1258.1801273003284,1250.3193537875427
36,117.30388808315274,114.90747268861342,1258.179712090717,1250.3189516644206
37,117.3038958603347,114.90746960086032,1258.1792964812823,1250.3185491383153
38,117.30390360225266,114.90746647385075,1258.1788812701734,1250.3181470185073
39,117.30391136029746,114.90746336480336,1258.1784658778631,1250.31774472028
40,117.30391910549699,114.90746024155074,1258.1780506322527,1250.3173425641523
41,117.30392685784368,114.90745712628811,1258.1776353084003,1250.316940329141
42,117.30393461409678,114.90745401542942,1258.1772199401278,1250.3165380499051
43,117.30394237733304,114.90745091235715,1258.1768044956498,1250.3161356957928
44,117.3039500933132,114.90744775673218,1258.1763895857077,1250.3157338787778
45,117.30395784879154,114.90744464511158,1258.1759742302509,1250.3153316153534
46,117.30396559797269,114.90744152654999,1258.1755589475824,1250.3149294221876
47,117.30397335130523,114.90743841263216,1258.175143620124,1250.3145271853255
48,117.30398110964457,114.90743530438581,1258.1747282400156,1250.3141248873771
49,117.30398886312508,114.90743219073298,1258.1743129121617,1250.313722650161
50,117.30399660112278,114.90742905986137,1258.1738977617415,1250.313320592818
51,117.30400436521425,114.90742595809331,1258.1734823172706,1250.3129182391608
52,117.30401211860462,114.90742284443185,1258.1730669940512,1250.312516010878
53,117.30401985573661,114.90741971277336,1258.1726518593675,1250.3121139626296
54,117.30402760412566,114.90741659366343,1258.1722365961614,1250.3117117905424
55,117.30403536343286,114.90741348670485,1258.171821211311,1250.3113095004649
56,117.30404311495818,114.90741037121715,1258.1714059161393,1250.3109072909383
57,117.30405086318034,114.90740725208255,1258.1709906616948,1250.3105051215773
58,117.30405860764141,114.90740412879889,1258.1705754494203,1250.3101029968677
59,117.30406635048998,114.9074010037045,1258.170160256869,1250.3097008978116
60,117.30407410599432,114.90739789278089,1258.1697449217884,1250.3092986523895
61,117.30408188177265,114.90739480448943,1258.1693293598,1250.3088961760207
62,117.30408962614284,114.90739168123679,1258.1689141535896,1250.308494061891
63,117.30409736658065,114.9073885536483,1258.1684989928326,1250.3080919939462
64,117.30410510209073,114.9073854206454,1258.1680838890024,1250.3076899804848
65,117.30411285386901,114.90738230579434,1258.1676686047103,1250.3072877836876
66,117.30412062511444,114.9073792126385,1258.1672530999904,1250.3068853690766
67,117.30325051351436,114.90639909252141,1258.1767690683557,1250.3164299079144
68,117.30325825821474,114.90639596984695,1258.1763538676487,1250.3160277986183
69,117.3032660237027,114.90639287032364,1258.1759384313896,1250.3156254579512
70,117.30327376942621,114.90638974893189,1258.1755232235962,1250.3152233338994
71,117.3032815324614,114.9063866467758,1258.1751078187062,1250.314821022648
72,117.30328926787311,114.90638351395826,1258.1746927290264,1250.3144190217956
73,117.30329699761234,114.90638037487625,1258.1742777046504,1250.3140170860286
74,117.30330474133808,114.90637725139761,1258.173862523189,1250.3136149937436
75,117.30331251252304,114.90637415851192,1258.1734470320202,1250.3132125927655
76,117.30332025859057,114.90637103771635,1258.1730318264033,1250.3128104776472
77,117.30332800844064,114.90636792116379,1258.1726165795371,1250.3124083220282
78,117.3033357807633,114.90636482964617,1258.172201080067,1250.3120059150597
79,117.30334351781146,114.90636169894475,1258.1717859802309,1250.311603905931
80,117.3033512545834,114.90635856800014,1258.1713708864377,1250.3112018991385
81,117.3033590025595,114.90635544958943,1258.170955666459,1250.3107997645989
82,117.30336676355944,114.90635234559544,1258.1705402985824,1250.310397496241
83,117.30337451148948,114.906349227209,1258.1701250831957,1250.3099953660167
84,117.30338227051318,114.9063461211712,1258.1697097415965,1250.30959311568
85,117.30339000798872,114.90634299118081,1258.169294644606,1250.3091911122922
86,117.3033977635602,114.90633988140905,1258.1688793466865,1250.3087889015278
87,117.30340550927825,114.90633676072895,1258.168464159978,1250.3083868022902
88,117.30341325433803,114.90633363932123,1258.1680489827318,1250.3079847157594
89,117.30342101907901,114.90633053986261,1258.1676335830305,1250.3075824074072
90,117.3034287623956,114.90632741658742,1258.1672184280212,1250.3071803447492
91,117.3034365027376,114.90632429010132,1258.166803308269,1250.3067783113854
92,117.30344426522211,114.90632118828144,1258.1663879396124,1250.3063760305506
93,117.30345201432135,114.90631807156775,1258.1659727223916,1250.3059739068428
94,117.30345975936324,114.90631495042786,1258.1655575534546,1250.3055718257403
95,117.30346751578624,114.90631184191042,1258.1651422552654,1250.305169625974
96,117.30347525070864,114.90630870961184,1258.164727204589,1250.3047676604456
97,117.3034829959468,114.90630558879381,1258.1643120365318,1250.3043655838658
98,117.30349075103936,114.90630247901817,1258.1638967606773,1250.3039633936924
99,117.30349850682789,114.90629937003393,1258.1634814762995,1250.3035611997072
100,117.30350623799838,114.90629623365012,1258.163066470465,1250.3031592905998
101,117.30351400735822,114.90629313992085,1258.1626510374342,1250.3027569389146
102,117.30352174585383,114.90629001176487,1258.1622359519902,1250.3023549506377
103,117.30352949214463,114.9062868923649,1258.1618207800475,1250.3019528715656
