distance_between_leaks: 1 foot, number_of_leaks: 2
first_leak_position(foot),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm)
0,117.30356563937713,114.90760512268506,1258.197066714201,1250.3358509370373
1,117.30357339787763,114.90760201257257,1258.1966512348754,1250.3354485606737
2,117.30358115124909,114.90759889656744,1258.196235850608,1250.3350462666008
3,117.30358890570142,114.90759578188126,1258.1958204251252,1250.3346439543661
4,117.30359665221891,114.90759265818168,1258.1954051232542,1250.3342417560118
5,117.30360440876339,114.90758954613543,1258.194989718736,1250.3338394001373
6,117.30361216458107,114.90758643257406,1258.1945742666371,1250.3334371291987
7,117.30361990254413,114.90758330019646,1258.194159073527,1250.3330349602206
8,117.30362766757723,114.90758019714286,1258.193743545435,1250.3326325709693
9,117.30363541400837,114.9075770745019,1258.1933282630241,1250.3322302860245
10,117.3036431597506,114.90757395039248,1258.1929129657615,1250.3318280851565
11,117.30365091588449,114.90757083753347,1258.192497538361,1250.3314258039293
12,117.30365867452238,114.90756772782117,1258.1920820966852,1250.331023463824
13,117.30366642844064,114.90756461285652,1258.191666710515,1250.3306211828615
14,117.3036741747202,114.9075614908458,1258.191251448327,1250.3302188476298
15,117.30368191541318,114.90755836042383,1258.1908361878916,1250.3298168023277
16,117.30368969016281,114.90755526906335,1258.190420576169,1250.3294142601405
17,117.3036974129831,114.9075521195823,1258.1900055484577,1250.329012344937
18,117.30370517668655,114.90754901605817,1258.189590061681,1250.3286099262334
19,117.3037129347012,114.90754590527592,1258.1891746181627,1250.3282076711196
20,117.30372067867138,114.90754278035179,1258.188759374865,1250.327805430761
21,117.30372843849882,114.90753967294897,1258.1883439481505,1250.3274030292
22,117.30373617694228,114.9075365406759,1258.1879287332258,1250.3270009837074
23,117.3037439364044,114.90753343263542,1258.1875133055942,1250.3265986210156
24,117.30375167386688,114.90753029969821,1258.1870981175014,1250.3261965549354
25,117.3037594483402,114.90752720904544,1258.1866825323013,1250.3257939648247
26,117.30376718613081,114.90752407604599,1258.1862673295552,1250.3253919496394
27,117.30377493646003,114.90752095819886,1258.1858520158783,1250.3249896771579
28,117.30378269804544,114.9075178525002,1258.1854365624552,1250.3245873211379
29,117.30379046586637,114.90751475344385,1258.1850210317027,1250.3241849302433
30,117.3037982060634,114.90751162390183,1258.184605820449,1250.3237828320082
31,117.30380593212237,114.90750847955181,1258.184190796525,1250.3233808059892
