,leak_coeff: 0.5,,,
leakage_position (foot),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm)
1,117.3536426671942,114.94427209288395,1257.098616328245,1251.6821327875107
2,117.3536477744357,114.94426967198176,1257.0983325638565,1251.6818596732737
3,117.35365290536171,114.94426727799448,1257.098048496357,1251.6815862395918
4,117.3536580506808,114.94426489964515,1257.0977642751104,1251.681312685524
5,117.35366316990493,114.94426249244698,1257.09748036639,1251.6810394118584
6,117.35366828628437,114.94426008204044,1257.097196484024,1251.6807661790392
7,117.35367341351014,114.94425768381168,1257.0969124756805,1251.6804928171302
8,117.35367853665915,114.9442552810413,1257.0966285119675,1251.6802195062075
9,117.35368367186442,114.94425289170353,1257.0963444192464,1251.6799460616946
10,117.35368881105906,114.94425050690579,1257.0960602777648,1251.6796725663567
11,117.35369391016691,114.9442480774807,1257.095776589633,1251.6793995305554
12,117.35369905713343,114.94424570129104,1257.0954923691293,1251.6791259601641
13,117.35370417868083,114.94424329691492,1257.0952084304654,1251.6788526715504
14,117.35370929751305,114.94424088957898,1257.0949245184127,1251.6785794118439
15,117.35283653646995,114.94326130212978,1257.1045741521139,1251.6882599593753
16,117.35284166756685,114.94325890843649,1257.1042901109267,1251.6879865690553
17,117.35284678383466,114.94325649829004,1257.1040062429608,1251.68771334589
18,117.35285191232661,114.94325410180032,1257.1037222307132,1251.6874399835183
19,117.35285705961289,114.94325172622362,1257.1034380080907,1251.6871664131604
20,117.35286218128516,114.94324932223685,1257.1031540768106,1251.6868931274316
21,117.35286728152867,114.94324689432464,1257.1028703927693,1251.6866200963725
22,117.35287244834934,114.94324454061295,1257.102585954044,1251.6863463055204
23,117.35287757021216,114.94324213690686,1257.1023020223438,1251.686073023911
24,117.35288267493341,114.94323971413371,1257.1020182875109,1251.6857999396918
25,117.35288781049562,114.94323732571902,1257.101734206391,1251.6855265072556
26,117.35289293534387,114.94323492544822,1257.1014502425453,1251.685253193694
27,117.35289804849099,114.943232512172,1257.101166416611,1251.6849800152347
28,117.3529031817345,114.94323012125257,1257.1008823631264,1251.6847066146088
29,117.35290830753003,114.9432277221257,1257.1005983967389,1251.684433294452
30,117.35291342744007,114.94322531649205,1257.1003144940128,1251.6841600409655
31,117.35291855093622,114.94322291483368,1257.1000305557704,1251.6838867528554
32,117.35292367813572,114.94322051737146,1257.0997465739722,1251.6836134197185
33,117.35292883765125,114.94321815587557,1257.099462229838,1251.6833397250682
34,117.35374244400448,114.9441156880948,1257.0900300002666,1251.6738994727452
35,117.35374757272027,114.9441132924332,1257.0897460045865,1251.6736261253864
36,117.35375272217573,114.9441109198899,1257.0894617748343,1251.6733525439754
37,117.35375782152245,114.94410849159671,1257.089178112786,1251.6730795324188
38,117.35376295938138,114.94410610621225,1257.0888940165933,1251.6728060845294
39,117.3537680492862,114.94410366746706,1257.0886104654553,1251.6725331829732
40,117.35377318475226,114.94410127949158,1257.0883263969674,1251.672259763708
41,117.35377832407468,114.94409889583117,1257.08804228741,1251.671986302838
42,117.3537834387396,114.94409648475163,1257.0877584594712,1251.6717131231644
43,117.35378858835574,114.94409411262109,1257.0874742344224,1251.6714395471465
44,117.35379370619279,114.94409170514997,1257.0871903708096,1251.6711663325027
45,117.35379885268513,114.94408932960613,1257.0869061841527,1251.6708927942577
46,117.35380394550577,114.94408689435036,1257.0866226046933,1251.6706198658724
47,117.35380908088257,114.94408450651187,1257.0863385457694,1251.6703464545685
48,117.3538142141153,114.94408211630316,1257.086054513037,1251.6700730703205
