leak_coeff: 0.1,,,,,leak_coeff: 0.2,,,,,leak_coeff: 0.30000000000000004,,,,,leak_coeff: 0.4,,,,,leak_coeff: 0.5,,,,
leakage_position (foot),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm),leak_elev (feet),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm),leak_elev (feet),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm),leak_elev (feet),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm),leak_elev (feet),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm),leak_elev (feet)
0,116.31232533689128,120.64484911410806,1519.4849029545023,1517.4257601993515,0.0,116.18548817442777,120.51801208993871,1521.3058614551185,1517.1874176683043,0.0,116.06658992424633,120.39911404419594,1523.0116594462977,1516.8352066012467,0.0,115.94355091067722,120.27607520127961,1524.773322221086,1516.541084713177,0.0,115.81933679614225,120.15186124808142,1526.5519516367908,1516.262952505381,0.0
1,116.31233572412144,120.64485950071621,1519.4855733469058,1517.426440104014,0.0,116.18548633719496,120.51801025156108,1521.3058613323258,1517.1886068763506,0.0,116.06659212077622,120.39911623980643,1523.0109903280181,1516.835617471761,0.0,115.943550727587,120.27607501746895,1524.7733222198044,1516.5407620543456,0.0,115.81934227783775,120.15186672924368,1526.5508387163216,1516.261916415686,0.0
2,116.31233790014025,120.64486167661768,1519.4853499014796,1517.4262518238895,0.0,116.18549832306871,120.51802223701517,1521.3057125151824,1517.1885483222952,0.0,116.0665915489634,120.3991156677693,1523.0104699565134,1516.8348319378931,0.0,115.94355491875342,120.27607920785357,1524.7730251481573,1516.5405450791277,0.0,115.81934917000693,120.15187362048573,1526.5507645245114,1516.2615582017918,0.0
3,116.31234023686494,120.6448640130343,1519.4853498954908,1517.4263917610597,0.0,116.18549530506185,120.51801921867722,1521.3056381085678,1517.1883373068008,0.0,116.06659638167193,120.39912049968432,1523.0103212088763,1516.835026093187,0.0,115.94355552723802,120.27607981537665,1524.77309942569,1516.5406374134443,0.0,115.81934873992704,120.15187318925186,1526.5506161345172,1516.2615906947271,0.0
4,116.31233586752046,120.64485964355927,1519.485349882771,1517.4262260128244,0.0,116.18549719980231,120.51802111296637,1521.3056827186945,1517.188333152476,0.0,116.0665944390902,120.39911855624797,1523.0105888553967,1516.8353253933928,0.0,115.94355258658517,120.27607687388287,1524.7730548821498,1516.5405221347914,0.0,115.81934506221641,120.1518695103152,1526.5508832622959,1516.261747070587,0.0
5,116.31233557352597,120.64485934907715,1519.4856478438533,1517.4266748872658,0.0,116.18549741549053,120.51802132828735,1521.305563675775,1517.1881843655265,0.0,116.06659212157547,120.39911623810842,1523.010469922476,1516.8352292404043,0.0,115.94355456897334,120.27607885535636,1524.773025179829,1516.5405338479347,0.0,115.81934292398684,120.15186737101769,1526.5506161585881,1516.2616314963327,0.0
6,116.31233714994066,120.64486092536416,1519.4854775711703,1517.426504397491,0.0,116.18549390044367,120.51801781258848,1521.3059251035181,1517.1885255349835,0.0,116.06658546464939,120.39910958041251,1523.010703561868,1516.8353824927258,0.0,115.94355169744027,120.27607598284355,1524.7732585880653,1516.5406574025333,0.0,115.81933644877031,120.15186089459571,1526.550806955044,1516.261752454406,0.0
7,116.31233303198549,120.64485680717766,1519.4855733488675,1517.4265120943512,0.0,116.18548852500741,120.51801243684922,1521.3056939166916,1517.188266223957,0.0,116.06658863181846,120.39911274692375,1523.0105442560332,1516.8353432373365,0.0,115.94355211786456,120.27607640243617,1524.7730994338722,1516.540526251014,0.0,115.81933942389901,120.15186386862857,1526.550783102,1516.261684726236,0.0
8,116.31233802131055,120.64486179631498,1519.4854492010365,1517.4264449900895,0.0,116.1854915136836,120.51801542499663,1521.305811737849,1517.1883953712386,0.0,116.06659033354528,120.39911444795436,1523.0105690391924,1516.8353698763096,0.0,115.9435521429352,120.27607642653072,1524.7731241929957,1516.5406437977358,0.0,115.81933822974581,120.15186267329469,1526.550764549916,1516.261763247615,0.0
